title,link,artist,year,classification,related_location,medium,dimensions,credit_line,copyright_status,cleaned_year,continent,country
"San Marco and the Torre dell'Orologio, Venice",https://marble.nd.edu/item/1978.081.182,Carlo Naya Italian 1816 1882,ca. 1870,Photographs,"Venice, Europe, Italy, Venezia, Veneto",Albumen print from wet collodion negative,7 1/2 x 9 1/2 in. (19.1 x 24.2 cm),Gift of Janos Scholz,Public domain,1870,Europe,Italy
"Il Battistero di Pisa (The Pisa Baptistery of St. John), Campo dei Miracoli",https://marble.nd.edu/item/1978.081.169,Giacomo Brogi Italian 1822 1881,ca. 1875-1880,Photographs,"Europe, Italy",Albumen print from wet collodion negative,9 7/8 x 7 3/4 in. (25.2 x 19.8 cm),Gift of Janos Scholz,Public domain,1875,Europe,Italy
"Certosa di Pavia, Lombardy",https://marble.nd.edu/item/1978.081.180,Giorgio Sommer Italian 1834 1914,ca. 1870,Photographs,"Europe, Italy",Albumen print from wet collodion negative,7 1/4 x 9 1/2 in. (18.3 x 24.2 cm),Gift of Janos Scholz,Public domain,1870,Europe,Italy
"Pauline Bonaparte as Venus Victrix by Antonio Canova, Borghese Gallery, Rome",https://marble.nd.edu/item/1978.081.199,Domenico Anderson Italian 1854 1938,ca. 1890,Photographs,"Europe, Italy",Albumen print from wet collodion negative,7 7/8 x 10 1/4 in. (19.9 x 26.1 cm),Gift of Janos Scholz,Public domain,1890,Europe,Italy
"Sant' Apollinare Nuovo, Ravenna",https://marble.nd.edu/item/1978.081.197,Carlo Naya Italian 1816 1882,ca. 1870,Photographs,"Europe, Italy",Albumen print from wet collodion negative,7 1/2 x 9 1/2 in. (19 x 24.1 cm),Gift of Janos Scholz,Public domain,1870,Europe,Italy
"Hellenistic Sculpture of a Wild Boar, Uffizi Gallery, Florence",https://marble.nd.edu/item/1978.081.209,Giacomo Brogi Italian 1822 1881,ca. 1890,Photographs,"Europe, Italy",Albumen print from wet collodion negative,7 3/4 x 9 7/8 in. (19.8 x 25.1 cm),Gift of Janos Scholz,Public domain,1890,Europe,Italy
Discovery of the Criminal Soldiers from the series Miseries and Disasters of War,https://marble.nd.edu/item/1979.116.003,Jacques Callot French 1592 1635,1633,Prints,"Europe, France",Etching on laid paper,3 1/4 x 7 1/4 in. (8.26 x 18.42 cm),Gift of Dr. and Mrs. Norval Green,Public domain,1633,Europe,France
Still Life with Bird,https://marble.nd.edu/item/1979.113.010,Christiaen van Pol Dutch 1752 1813,1785,Paintings,,Oil on panel,6 3/8 x 5 in. (16.19 x 12.7 cm),Gift of James W. and Marilynn B. Alsdorf,Public domain,1785,,
Votos (Votive Offerings),https://marble.nd.edu/item/1979.123.001.002,Manuel lvarez Bravo Mexican 1902 2002,1969; printed 1977,Photographs,,Gelatin silver print,7 3/8 x 9 5/8 in. (18.7 x 24.4 cm),"Gift of Mr. John C. Rudolf, ND ’70",Copyright,1969,,
Still Life with Rabbit,https://marble.nd.edu/item/1979.113.009,Christiaen van Pol Dutch 1752 1813,1785,Paintings,,Oil on panel,6 x 4 7/8 in. (15.24 x 12.38 cm),Gift of James W. and Marilynn B. Alsdorf,Public domain,1785,,
UNTITLED,https://marble.nd.edu/item/1980.122.002.D,Todd Webb American 1905 2000,22-Jul-76,Photographs,,Gelatin silver print,8 3/8 x 6 1/2 in. (21.29 x 16.36 cm),Gift of Mr. James G. Niven,Copyright,1976,,
RECTORY DOOR,https://marble.nd.edu/item/1980.122.002.E,Todd Webb American 1905 2000,22-Jul-76,Photographs,,Gelatin silver print,8 1/4 x 6 1/2 in. (20.96 x 16.36 cm),Gift of Mr. James G. Niven,Copyright,1976,,
PUB-MIDSOMER NORTON,https://marble.nd.edu/item/1980.122.002.A,Todd Webb American 1905 2000,Sep-74,Photographs,,Gelatin silver print,8 x 7 in. (20.17 x 17.63 cm),Gift of Mr. James G. Niven,Copyright,1974,,
Untitled from Jamaica Botanical,https://marble.nd.edu/item/1980.122.004.025,William Eggleston American b 1939,1978,Photographs,"North America, Jamaica",Chromogenic color print,14 3/8 x 17 in. (36.5 x 43.1 cm),Gift of Mr. James G. Niven,Copyright,1978,North America,Jamaica
"Schoolboys, Washington Square North",https://marble.nd.edu/item/1980.123.001.L,Berenice Abbott American 1898 1991,1936,Photographs,,Gelatin silver print,8 x 10 in. (20.3 x 25.2 cm),Gift of Mr. Arthur Turchin,Copyright,1936,,
"St. Augustine, from North and South, U.S., Route 1",https://marble.nd.edu/item/1980.123.001.M,Berenice Abbott American 1898 1991,1954,Photographs,,Gelatin silver print,10 x 8 in. (25.2 x 20.3 cm),Gift of Mr. Arthur Turchin,Copyright,1954,,
White Horse Walking,https://marble.nd.edu/item/1981.031.543,Eadweard James Muybridge English 1830 1904,1887,Photographs,,Collotype on white wove paper,18 1/2 x 23 1/2 in. (47 x 59.7 cm),Janos Scholz Collection,Public domain,1887,,
Family Portrait,https://marble.nd.edu/item/1981.040.004,Unidentified American,1890-1895,Photographs,,Albumen print from celluloid negative,5 1/4 x 4 1/8 in. (13.2 x 10.6 cm),"Gift of D. H. Barton, DDS",Public domain,1892,,
STREET SCENE (FROM THE PORTFOLIO: A HARLEM DOCUMENT),https://marble.nd.edu/item/1981.080.002.006,Aaron Siskind American 1903 1991,ca. 1935,Photographs,,Gelatin silver print,11 x 14 in. (27.94 x 35.56 cm),Gift of Mr. Walter H. Lake Jr,Copyright,1935,,
"Untitled, from North and South, U.S. Route 1",https://marble.nd.edu/item/1980.123.001.B,Berenice Abbott American 1898 1991,1954,Photographs,,Gelatin silver print,10 x 8 in. (25.4 x 20.3 cm),Gift of Mr. Arthur Turchin,Copyright,1954,,
Fachada de la Catedral de Burgos (Facade of Burgos Cathedral),https://marble.nd.edu/item/1981.031.133,Casiano Alguacil Blzquez Spanish 1832 1914,ca. 1880,Photographs,,Albumen print from wet collodion negative,8 1/4 x 6 1/4 in. (21 x 15.9 cm),Gift of Mr. Janos Scholz,Public domain,1880,,
"Wandering Violinist, Abony",https://marble.nd.edu/item/1981.108.007,Andr Kertsz American born in Hungary 1894 1985,1921; printed 1980,Photographs,"Europe, Hungary, Abony, Pest",Gelatin silver print,14 x 16 7/8 in. (35.5 x 42.8 cm),"Gift of Mr. Patrick J. Kealy, ND ’65",Copyright,1921,Europe,Hungary
Painted Buffalo Robe,https://marble.nd.edu/item/1981.114.006,Unrecorded Sioux artist,ca. 1860,Paintings,North America,"Buffalo skin, paint",54 3/4 x 52 in. (139.07 x 132.08 cm),Gift of Dr. John F. McGonigle,Public domain,1860,North America,
The Rape of Proserpine by Pluto,https://marble.nd.edu/item/1982.041.001,LouisSimon Boizot French 1743 1809,ca. 1786,Sculpture,Europe,Bronze with black lacquer finish,18 1/4 x 9 1/8 x 9 1/8 in. (46.36 x 23.18 x 23.18 cm),"Bernard J., ND '51 and Joyce McMahon, SMC '52 Hank Fund",Public domain,1786,Europe,
Chimney Sweep and Children,https://marble.nd.edu/item/1982.071.001.C,Alen MacWeeney Irish b 1939,1965,Photographs,,Gelatin silver print,11 3/4 x 11 3/4 in. (29.7 x 29.8 cm),"Gift of Mr. Patrick J. Kealy, ND ’65",Copyright,1965,,
Jar,https://marble.nd.edu/item/1982.079.001,Unrecorded Santa Clara artist,ca. 1935,Vessels,"North America, United States, New Mexico",Slipped earthenware,5 x 6 1/2 in. (12.7 x 16.51 cm),Gift of Dr. and Mrs. Bernard Waldman,Public domain,1935,North America,Mexico
Bandolier Bag,https://marble.nd.edu/item/1983.001,Unrecorded Ojibwa artist,ca. 1860,Apparel and Adornments,"North America, United States, Great Lakes Region","Leather, glass beads, cloth, yarn, thread, and bell",38 1/2 x 9 3/8 in. (97.79 x 23.81 cm),Gift of Mr. and Mrs. Richard C. Emery,Public domain,1860,North America,United States
Holy Family,https://marble.nd.edu/item/1983.023,Studio of Simon Vouet French 1590 1649,1640's,Paintings,"Europe, France",Oil on canvas,41 3/4 x 37 1/4 in. (106.05 x 94.62 cm),"Mr. and Mrs. Bernard J., ND '51 and Joyce McMahon, SMC '52 Hank and James Edwards Funds",Public domain,1640,Europe,France
Rug,https://marble.nd.edu/item/1982.079.005,Unrecorded Navajo artist,ca. 1935,Textiles,"North America, United States, New Mexico",Wool yarn,71 x 40 1/2 in. (180.34 x 102.87 cm),Gift of Dr. and Mrs. Bernard Waldman,Public domain,1935,North America,Mexico
Circe,https://marble.nd.edu/item/1983.041,Francesco Solimena Italian 1657 1747,1672-1747,Paintings,Europe,Oil on canvas,25 1/2 x 20 1/4 in. (64.77 x 51.44 cm),Ernestine Morris Carmichael Raclin Fund,Public domain,1709,Europe,
Study for Homage to the Square: Compliant,https://marble.nd.edu/item/1983.044,Josef Albers American 1888 1976,1960,Paintings,,Oil on board,30 x 30 in. (76.2 x 76.2 cm),Gift of Miss May E. Walter,Copyright,1960,,
Headband of Married Woman's Headdress,https://marble.nd.edu/item/1983.057.b,Unrecorded Herero aritst,19th-early 20th century,Apparel and Adornments,Africa,"Leather, iron",7 in. (17.78 cm),The Martin Foundation Inc. Fund,Public domain,2022,Africa,
Portrait of a Woman,https://marble.nd.edu/item/1984.012.001,AntoineSamuel AdamSalomon French 1818 1881,ca. 1860,Photographs,,Salt print,10 1/2 x 8 1/4 in. (26.82 x 20.96 cm),Gift of Janos Scholz,Public domain,1860,,
Woman Peeling Vegetables,https://marble.nd.edu/item/1984.012.042,Baron LouisAdolphe Humbert de Molard French 1800 1874,1852,Photographs,,Salt print from albumen paper negative,4 3/4 x 3 5/8 in. (12.2 x 9.2 cm),Janos Scholz Collection,Public domain,1852,,
One of a Pair of Child's Moccasins,https://marble.nd.edu/item/1984.040.004.A,Unrecorded Plains Native American artist,ca. 1890,Apparel and Adornments,"North America, United States","Leather, glass beads, and cotton thread",5 x 2 in. (12.7 x 5.08 cm),"Gift of Joseph A. Navarre Sr., ND ’26",Public domain,1890,North America,United States
Operatic Soprano Pauline Lucca (1841-1908),https://marble.nd.edu/item/1984.051.011.V,Victor Angerer Austrian 1839 1894,ca. 1865,Photographs,,Albumen print mounted as carte-de-visite,3 5/8 x 2 1/4 in. (9.14 x 5.59 cm),Gift of Janos Scholz,Public domain,1865,,
One of a Pair of Gauntlets with Floral Embroidery,https://marble.nd.edu/item/1984.040.002.B,Unrecorded HoChunk artist,ca. 1890,Apparel and Adornments,"North America, United States, Wisconsin","Deer skin, leather, cotton cloth, mercerized cotton thread",15 1/4 x 8 1/4 in. (38.74 x 20.96 cm),"Gift of Joseph A. Navarre Sr., ND ’26",Public domain,1890,North America,United States
View from the Ruins of the Villa Horace at Tivoli,https://marble.nd.edu/item/1984.025,Charles Rmond French 1795 1875,1827,Paintings,,Oil on canvas,16 1/8 x 13 in. (40.96 x 33.02 cm),Noah L. Butkin Fund,Public domain,1827,,
The Rejection of Cain's Offering and the Sacrifice of Manoah,https://marble.nd.edu/item/1985.017,Gaetano Gandolfi Italian 1734 1802,ca. 1779,Paintings,"Europe, Italy, Bologna, Emilia-Romagna",Oil on canvas,31 1/2 x 39 x 2 1/8 in. (80.01 x 99.06 x 5.4 cm),"John D. Reilly, ND '63, '64 Fund in memory of his mother Sara Butler Reilly",Public domain,1779,Europe,Italy
"Altar for Royal Mass, from Souvenirs du Camp de Châlons",https://marble.nd.edu/item/1984.012.032,JeanBaptiste Gustave Le Gray French 1820 1884,1857,Photographs,"Europe, France",Albumen print from wet collodion negative,10 x 13 3/4 in. (25.5 x 34.9 cm),Gift of Janos Scholz,Public domain,1857,Europe,France
Three Right Angles Horizontal Variation,https://marble.nd.edu/item/1985.043,George Rickey American 1907 2002,1982,Prints,"East Chatham, North America, United States, Columbia, New York",Embossing on Arches paper,22 1/2 x 14 3/4 in. (57.15 x 37.47 cm),Gift of the artist,Copyright,1982,North America,United States
Rattle Ball,https://marble.nd.edu/item/1986.040,Unrecorded Tlatilco artist,1300-1000 BCE,"Tools, Implements, and Weights","North America, Mexico, Tlatilco",Slipped ceramic,2 1/2 x 2 1/2 x 2 1/2 in. (6.35 x 6.35 x 6.35 cm),Gift of Constance Kamens,Public domain,-1150,North America,Mexico
"Clock Tower Wharf, Paris",https://marble.nd.edu/item/1987.015.017,FranoisAuguste Renard French active 1806 1896,1852,Photographs,"Europe, France, Paris, Île-de-France",Salt print from albumen silver negative on glass,6 1/2 x 8 3/4 in. (16.4 x 22.3 cm),Janos Scholz Collection,Public domain,1852,Europe,France
Armband with Serpent,https://marble.nd.edu/item/1987.035.010,Unrecorded Totonac artist,1200-1521,Apparel and Adornments,"North America, Mexico, Veracruz",Shell,2 5/8 x 4 3/8 x 4 in. (6.67 x 11.11 x 10.16 cm),Gift of James W. and Marilynn B. Alsdorf,Public domain,1360,North America,Mexico
Nose Ornament,https://marble.nd.edu/item/1987.035.016,Unrecorded Moche artist Formerly attributed to Unidentified Mochica artist,500-700,Jewelry,"South America, Peru",Gold,7/8 x 1 1/2 x 1/8 in. (2.18 x 3.96 x 0.16 cm),,Public domain,600,South America,Peru
Saint John the Baptist Preaching,https://marble.nd.edu/item/1985.042,Raymond Lafage French 1656 1684,1656-1684,Drawings,,"Pen and ink on brown, laid paper",16 x 20 1/2 in. (40.64 x 52.07 cm),Gift of Mrs. Noah L. Butkin,Public domain,1670,,
Bowl with 4-Point Star,https://marble.nd.edu/item/1987.056,Unrecorded Mimbres artist,1000-1150,Vessels,"North America, United States, New Mexico","Buffware, white slip, paint",4 3/4 x 9 in. (12.07 x 22.86 cm),J. Moore McDonough Endowment for Art of the Americas,Public domain,1075,North America,Mexico
Diana and Endymion,https://marble.nd.edu/item/1988.045,Jean Restout the Younger French 1692 1768,ca. 1720,Paintings,"Europe, France",Oil on canvas,37 1/4 x 30 3/4 in. (94.62 x 78.11 cm),Ernestine Morris Carmichael Raclin Fund,Public domain,1720,Europe,France
"Study for Jewish Memorial, Moses Pointing at the Ten Commandments",https://marble.nd.edu/item/1987.018.229,Ivan Metrovi Croatian 1883 1962,ca. 1950,Drawings,,Charcoal on brown paper mounted on bristol board and covered with acetate,41 1/2 x 49 1/2 x 2 in. (105.41 x 125.73 x 5.08 cm),"Mr. and Mrs. Russell G. Ashbaugh Jr., ND '48 Fund",Copyright,1950,,
"Study for Mater Salvatoris, Saint Eustache, Paris",https://marble.nd.edu/item/1988.016,Thomas Couture French 1815 1879,ca. 1851-1856,Paintings,"Europe, France, Paris, Île-de-France",Oil on canvas,12 1/8 x 15 in. (30.8 x 38.1 cm),"Gift of Mr. Fred B. Snite Sr., by Exchange",Public domain,1851,Europe,France
"Saints Prothus, Hyacinthus, and Eugenia",https://marble.nd.edu/item/1989.020.007,Italian,second half of the 13th century,Manuscripts,"Europe, Italy",Black ink and tempera on parchment,3 1/2 x 3 1/8 in. (8.99 x 7.8 cm),"Gift of Ann Katherine McNear in memory of her husband, Everett McNear",Public domain,1250,Europe,Italy
Death of the Magdalen,https://marble.nd.edu/item/1990.003,Sebastiano Conca Italian 1680 1764,ca. 1740,Paintings,"Europe, Italy",Oil on copper,13 5/8 x 10 7/8 in. (34.61 x 27.62 cm),Mr. and Mrs. Al Nathe Fund,Public domain,1740,Europe,Italy
Virgin and Child with Saint Catherine,https://marble.nd.edu/item/1988.025,German,15th century,Sculpture,"Europe, Germany",Shell and mother-of-pearl,1 5/8 x 1 5/8 x 3/8 in. (4.13 x 4.13 x 0.95 cm),Gift of Mrs. John Hunt,Public domain,1450,Europe,Germany
Vase,https://marble.nd.edu/item/1990.006,Dagobert Peche Austrian 1887 1923,ca. 1918,Decorative Arts,,Silverplated alpaca,5 x 4 in. (12.7 x 10.16 cm),"Gift of Mr. Peter C. Reilly, by Exchange",Public domain,1918,,
Soupe,https://marble.nd.edu/item/1988.018,James McNeill Whistler American 1834 1903,1859,Prints,Europe,Etching and drypoint on japan paper,6 x 9 in. (15.24 x 22.86 cm),Mr. N. L. Swinson Fund,Public domain,1859,Europe,
Standing Female Figurine with Displayed Deity Paint,https://marble.nd.edu/item/1990.012.036,Unrecorded Tlatilco artist,1300-1000 BCE,Figurines,"North America, Mexico, Puebla",Slipped and painted ceramic,5 3/4 x 2 1/8 x 1 1/4 in. (14.73 x 5.33 x 3.05 cm),Mr. and Mrs. Judd Leighton Fund,Public domain,-1150,North America,Mexico
Standing Female Figurine with Painted Headdress (Type D-K),https://marble.nd.edu/item/1990.012.030,Unrecorded artist Formerly attributed to Unrecorded Tlatilco artist,1200 - 900 BCE,Figurines,"North America, Mexico, Río Cuautla region",Slipped and painted ceramic,15 3/4 x 7 1/4 x 3 in. (40.01 x 18.42 x 7.62 cm),Mr. and Mrs. Judd Leighton Fund,Public domain,-1050,North America,Mexico
"Downtown, the El",https://marble.nd.edu/item/1991.001.115,John Marin American 1872 1953,1921,Prints,,Etching on paper,10 3/4 x 13 3/4 in. (27.31 x 34.93 cm),Humana Foundation Endowment,Copyright,1921,,
Polychrome Pedestal Plate with Stingray on Interior,https://marble.nd.edu/item/1990.033.013,Unrecorded Cocl artist,700 - 1200 CE,Sculpture,"North America, Panama",Polychrome ceramic,3 3/4 x 4 1/4 x 4 1/8 in. (9.58 x 10.64 x 10.62 cm),Gift of Peter David Joralemon,Public domain,950,North America,Panama
Abraham Caressing Isaac or Jacob Caressing Benjamin,https://marble.nd.edu/item/1991.025.004,Rembrandt van Rijn Dutch 1606 1669,ca. 1637; 18th-century impression,Prints,"Europe, Netherlands",Etching on laid paper,4 5/8 x 3 1/2 in. (11.61 x 8.89 cm),Gift of Mr. and Mrs. Jack F. Feddersen,Public domain,1637,Europe,Netherlands
Standing Female Figurine with Headband and Necklace,https://marble.nd.edu/item/1990.012.028,Unrecorded Zacateco artist,1000-500 BCE,Figurines,"North America, Mexico, México, Valle de (valley)",Slipped ceramic,6 1/4 x 3 1/8 x 1 in. (15.88 x 7.94 x 2.54 cm),Mr. and Mrs. Judd Leighton Fund,Public domain,-750,North America,Mexico
David and Goliath,https://marble.nd.edu/item/1991.025.008,Rembrandt van Rijn Dutch 1606 1669,1655,Prints,"Europe, Netherlands",Etching and drypoint with burin on vellum,4 x 2 7/8 in. (10.1 x 7.2 cm),Gift of Mr. and Mrs. Jack F. Feddersen,Public domain,1655,Europe,Netherlands
Virgin and Child in the Clouds,https://marble.nd.edu/item/1991.025.032,Rembrandt van Rijn Dutch 1606 1669,1641,Prints,"Europe, Netherlands",Etching and drypoint on laid paper,6 5/8 x 4 1/8 in. (16.79 x 10.59 cm),Gift of Mr. and Mrs. Jack F. Feddersen,Public domain,1641,Europe,Netherlands
Rest on the Flight: Lightly Etched,https://marble.nd.edu/item/1991.025.031,Rembrandt van Rijn Dutch 1606 1669,1645,Prints,"Europe, Netherlands",Etching and drypoint on laid paper,3 x 3 x 3 in. (7.62 x 7.62 x 7.62 cm),Gift of Mr. and Mrs. Jack F. Feddersen,Public domain,1645,Europe,Netherlands
Presentation in the Temple: Oblong Plate,https://marble.nd.edu/item/1991.025.023,Rembrandt van Rijn Dutch 1606 1669,ca. 1639-1641; later impression,Prints,"Europe, Netherlands",Etching and drypoint on laid paper,8 3/8 x 11 3/8 in. (21.31 x 29.01 cm),Gift of Mr. and Mrs. Jack F. Feddersen,Public domain,1639,Europe,Netherlands
Christ before Pilate: Large Plate,https://marble.nd.edu/item/1991.025.048,Rembrandt van Rijn Dutch 1606 1669,1636,Prints,"Europe, Netherlands","Etching, engraving, and drypoint on paper",21 3/4 x 17 5/8 in. (55.19 x 44.81 cm),Gift of Mr. and Mrs. Jack F. Feddersen,Public domain,1636,Europe,Netherlands
